claim_id,target
ID_4RO0KZI9BBW2,0
ID_GTE9ZUJ9GZ97,0
ID_RUVIYRKWZ4RG,0
ID_J81X8SWU6JYN,0
ID_94NM3JJAWWOQ,0
ID_TKCNGKSO1CMY,0
ID_T1HVS684BH5I,0
ID_T8UW9ST7U75S,0
ID_MPCPOYBXBDQ9,0
ID_PTR3D1Y4HKCO,0
ID_BC4UJTA1DJB7,0
ID_03JOAPPUJI6H,0
ID_6DA9F02OTHSO,0
ID_JY758RRZZVA5,0
ID_9FQJ4MQEN5H8,0
ID_KINUO4FIN53W,0
ID_0TWXLFK8X4EK,0
ID_I6OMG6AI9ILY,0
ID_RVMFMHHRW1NO,0
ID_UCZH0BOUHPLA,0
ID_8AFFKZSAYZZ7,0
ID_90JC4ZNT0OJ4,0
ID_KCGFWWUG3GRU,0
ID_GT5MHBR2CCZB,0
ID_Y73Z17TBVJH2,0
ID_9OPVG2YWFOHJ,0
ID_TAR4XMXNQ78T,0
ID_BOH67OUBV0XA,0
ID_XE0ZOYIEJT1L,0
ID_A26VR0IPQPYK,0
ID_5HK9WNZ8B2LB,0
ID_Y3ISOSIA9SXQ,0
ID_UR21G3FGN1W1,0
ID_UMY0EF1B711C,0
ID_RAI79W35GVL0,0
ID_R1XVA2NP0C2B,0
ID_GWH8NNO4VWA8,0
ID_L9DV4R1IIWAN,0
ID_LDS7X8U77NHH,0
ID_KVA90UYWBFBQ,0
ID_97O5TWK60K3I,0
ID_UZB1OAVL2SIL,0
ID_YTBRQ8M5FHUU,0
ID_HOY2QIKDDW1G,0
ID_KAFOD2UM81CF,0
ID_KXGO2CVPRRHM,0
ID_CITCPNZS8NGE,0
ID_2VML60NPZD9I,0
ID_IBBBVJTXD09L,0
ID_KDE9033V0GH6,0
ID_CHAV6L6ZSA9J,0
ID_RRMTZ0MLZIJQ,0
ID_ZXW6VOJI17P0,0
ID_AVX2HTUEJE88,0
ID_XALN4Y87TVFA,0
ID_7Q9XBGSX61H0,0
ID_DNRLZ1XI4SB8,0
ID_OL9E87L56NNA,0
ID_A5W8LFFIV6JL,0
ID_UKZ47XRMJLOK,0
ID_OR285DODEJ6V,0
ID_ITOLUWCQIRXT,0
ID_8DVQJCG9I1J5,0
ID_HR5G1CJHPKS7,0
ID_IGKYRHBR9LA8,0
ID_U49D9T6ZI6D2,0
ID_8WZD8J2M5VM4,0
ID_L11PTPIBEOUY,0
ID_AB6US7JBUFGA,0
ID_99BLGEXMLCM0,0
ID_HJX8S2IICQGK,0
ID_T2MQ13XD0BZH,0
ID_NGZ13S84K0SZ,0
ID_KQC61JPTBOWP,0
ID_LBUJS9N3CZLR,0
ID_GWEOWVWDJU49,0
ID_ARSJNVI9J3CD,0
ID_3WD3PW51IHIB,0
ID_9YU1OGVM07XT,0
ID_MZPV0UT4FXS0,0
ID_5SHCLLHGGTZM,0
ID_F8XAZJ6RA96K,0
ID_8RWMB2R4BG17,0
ID_ZQOXGQKTSQUZ,0
ID_GD1WHVT4SRZK,0
ID_ZCHG291XANNT,0
ID_DSODEGCFSOB0,0
ID_9QEMV2YYHWMX,0
ID_V3668U3YAR1G,0
ID_AYBG48UESVMW,0
ID_WG8IGLW118PX,0
ID_L51DQPGB1XWS,0
ID_1TLMI0UOIGAY,0
